Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Product_Name,Price,Quantity,Discount,total_amount
ORD-1014,2023-08-22,2023-08-26,First Class,CUST-0059,Customer 118,Consumer,South,Florida,Miami,Technology,Phones,Phones Model 212,244.99,1.0,0.2,244.99
ORD-1015,2024-01-22,2024-01-23,Standard Class,CUST-0081,Customer 113,Corporate,West,Illinois,Chicago,Office Supplies,Binders,Binders Model 319,130.69,7.0,0.1,914.83
ORD-1016,2024-09-29,2024-10-01,Same Day,CUST-0068,Customer 123,Consumer,Central,Illinois,Chicago,Office Supplies,Labels,Labels Model 393,175.81,1.0,0.2,175.81
ORD-1017,2024-05-25,2024-05-26,Same Day,CUST-0070,Customer 93,Home Office,South,California,Los Angeles,Furniture,Furnishings,Furnishings Model 863,491.79,6.0,0.2,2950.74
ORD-1018,2023-05-28,2023-06-01,Standard Class,CUST-0128,Customer 39,Corporate,South,California,Los Angeles,Technology,Copiers,Copiers Model 740,13.21,3.0,0.2,39.63
ORD-1019,2023-10-25,2023-10-28,Same Day,CUST-0144,Customer 90,Consumer,South,Ohio,Columbus,Technology,Copiers,Copiers Model 671,368.93,2.0,0.0,737.86
ORD-1020,2023-06-09,2023-06-12,Standard Class,CUST-0099,Customer 147,Home Office,South,Ohio,Columbus,Furniture,Tables,Tables Model 251,498.15,5.0,0.0,2490.75
ORD-1021,2024-02-26,2024-03-01,First Class,CUST-0112,Customer 99,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Binders,Binders Model 995,322.81,1.0,0.3,322.81
ORD-1022,2024-11-11,2024-11-15,Same Day,CUST-0033,Customer 142,Consumer,South,California,Los Angeles,Office Supplies,Paper,Paper Model 603,245.38,3.0,0.0,736.14
ORD-1023,2024-04-14,2024-04-20,Second Class,CUST-0038,Customer 109,Home Office,West,Pennsylvania,Philadelphia,Technology,Accessories,Accessories Model 875,330.52,1.0,0.3,330.52
ORD-1024,2024-04-25,2024-04-30,Standard Class,CUST-0048,Customer 147,Home Office,South,Washington,Seattle,Technology,Accessories,Accessories Model 148,398.43,1.0,0.3,398.43
ORD-1025,2023-04-09,2023-04-13,Standard Class,CUST-0024,Customer 93,Consumer,West,California,Los Angeles,Furniture,Furnishings,Furnishings Model 280,470.53,5.0,0.0,2352.65
ORD-1026,2023-06-10,2023-06-13,Second Class,CUST-0025,Customer 54,Corporate,Central,Florida,Miami,Technology,Accessories,Accessories Model 971,490.26,4.0,0.0,1961.04
ORD-1027,2024-09-30,2024-10-03,Second Class,CUST-0017,Customer 104,Consumer,East,New York,New York City,Office Supplies,Paper,Paper Model 910,309.43,6.0,0.1,1856.58
ORD-1028,2024-02-12,2024-02-17,Second Class,CUST-0135,Customer 57,Consumer,South,Washington,Seattle,Office Supplies,Labels,Labels Model 420,151.77,3.0,0.1,455.31
ORD-1029,2023-02-20,2023-02-21,First Class,CUST-0125,Customer 58,Corporate,West,New York,New York City,Office Supplies,Art,Art Model 404,443.88,2.0,0.1,887.76
ORD-1030,2024-07-25,2024-07-29,Standard Class,CUST-0103,Customer 6,Consumer,South,Washington,Seattle,Office Supplies,Storage,Storage Model 983,67.89,1.0,0.0,67.89
ORD-1031,2024-01-05,2024-01-09,Second Class,CUST-0147,Customer 145,Home Office,Central,New York,New York City,Office Supplies,Storage,Storage Model 703,320.53,4.0,0.0,1282.12
ORD-1032,2023-05-07,2023-05-08,Standard Class,CUST-0129,Customer 58,Corporate,East,Washington,Seattle,Office Supplies,Paper,Paper Model 850,17.55,5.0,0.0,87.75
ORD-1033,2023-09-29,2023-10-04,Same Day,CUST-0069,Customer 22,Consumer,Central,Ohio,Columbus,Office Supplies,Binders,Binders Model 175,331.8,5.0,0.0,1659.0
ORD-1034,2023-08-08,2023-08-13,Standard Class,CUST-0094,Customer 144,Corporate,West,Ohio,Columbus,Office Supplies,Storage,Storage Model 531,380.13,9.0,0.0,3421.17
ORD-1035,2024-06-05,2024-06-11,Same Day,CUST-0034,Customer 138,Corporate,Central,Illinois,Chicago,Furniture,Bookcases,Bookcases Model 541,176.42,5.0,0.1,882.1
ORD-1036,2024-05-11,2024-05-15,Same Day,CUST-0084,Customer 140,Corporate,Central,Florida,Miami,Furniture,Furnishings,Furnishings Model 479,331.05,4.0,0.1,1324.2
ORD-1037,2024-07-30,2024-07-31,Second Class,CUST-0043,Customer 44,Consumer,East,Florida,Miami,Furniture,Chairs,Chairs Model 111,406.55,5.0,0.3,2032.75
ORD-1038,2023-02-04,2023-02-05,Same Day,CUST-0093,Customer 90,Corporate,West,New York,New York City,Technology,Machines,Machines Model 214,14.02,3.0,0.1,42.06
ORD-1039,2024-05-07,2024-05-10,Same Day,CUST-0021,Customer 138,Consumer,East,Illinois,Chicago,Furniture,Bookcases,Bookcases Model 291,63.49,5.0,0.1,317.45
ORD-1040,2023-04-06,2023-04-12,Standard Class,CUST-0012,Customer 113,Home Office,East,Florida,Miami,Technology,Phones,Phones Model 378,367.17,4.0,0.1,1468.68
ORD-1041,2023-03-03,2023-03-07,Standard Class,CUST-0086,Customer 141,Home Office,Central,Florida,Miami,Furniture,Bookcases,Bookcases Model 276,56.05,1.0,0.0,56.05
ORD-1042,2024-01-19,2024-01-23,Second Class,CUST-0111,Customer 144,Consumer,East,Texas,Houston,Furniture,Chairs,Chairs Model 198,424.34,9.0,0.0,3819.06
ORD-1043,2023-05-31,2023-06-01,Standard Class,CUST-0042,Customer 142,Home Office,West,Ohio,Columbus,Furniture,Furnishings,Furnishings Model 232,337.9,4.0,0.0,1351.6
ORD-1044,2023-01-09,2023-01-11,Same Day,CUST-0145,Customer 7,Corporate,East,New York,New York City,Technology,Accessories,Accessories Model 267,275.23,2.0,0.3,550.46
ORD-1045,2023-01-29,2023-02-03,First Class,CUST-0136,Customer 109,Consumer,West,Pennsylvania,Philadelphia,Office Supplies,Binders,Binders Model 599,411.82,2.0,0.0,823.64
ORD-1046,2023-03-11,2023-03-15,First Class,CUST-0108,Customer 91,Corporate,West,Ohio,Columbus,Furniture,Bookcases,Bookcases Model 630,454.31,4.0,0.3,1817.24
ORD-1047,2024-09-29,2024-10-01,Same Day,CUST-0061,Customer 127,Consumer,Central,Washington,Seattle,Technology,Machines,Machines Model 100,248.85,2.0,0.3,497.7
ORD-1048,2024-01-04,2024-01-05,Standard Class,CUST-0117,Customer 134,Corporate,South,Florida,Miami,Technology,Phones,Phones Model 784,122.57,9.0,0.0,1103.13
ORD-1049,2023-07-22,2023-07-26,Same Day,CUST-0147,Customer 20,Consumer,West,Illinois,Chicago,Furniture,Chairs,Chairs Model 146,164.73,6.0,0.0,988.38
ORD-1050,2024-07-19,2024-07-25,Same Day,CUST-0012,Customer 74,Corporate,South,Texas,Houston,Furniture,Chairs,Chairs Model 507,349.4,1.0,0.0,349.4
ORD-1051,2024-10-09,2024-10-11,Second Class,CUST-0028,Customer 101,Consumer,South,Washington,Seattle,Furniture,Furnishings,Furnishings Model 803,88.99,4.0,0.1,355.96
ORD-1052,2024-04-05,2024-04-09,Standard Class,CUST-0141,Customer 46,Home Office,East,Florida,Miami,Technology,Machines,Machines Model 489,21.0,9.0,0.0,189.0
ORD-1053,2023-01-10,2023-01-16,First Class,CUST-0109,Customer 5,Home Office,South,New York,New York City,Office Supplies,Storage,Storage Model 900,364.23,9.0,0.1,3278.07
ORD-1054,2023-10-09,2023-10-10,First Class,CUST-0027,Customer 109,Consumer,Central,Pennsylvania,Philadelphia,Office Supplies,Binders,Binders Model 610,242.78,1.0,0.2,242.78
ORD-1055,2024-10-06,2024-10-12,Standard Class,CUST-0023,Customer 53,Consumer,West,Texas,Houston,Furniture,Chairs,Chairs Model 557,32.91,6.0,0.3,197.46
ORD-1056,2023-01-01,2023-01-04,Standard Class,CUST-0004,Customer 113,Corporate,South,Illinois,Chicago,Technology,Phones,Phones Model 194,124.34,9.0,0.0,1119.06
ORD-1057,2023-11-02,2023-11-06,Second Class,CUST-0133,Customer 57,Consumer,South,California,Los Angeles,Technology,Machines,Machines Model 866,251.59,6.0,0.0,1509.54
ORD-1058,2024-07-31,2024-08-03,First Class,CUST-0038,Customer 50,Corporate,West,Texas,Houston,Technology,Accessories,Accessories Model 897,378.79,5.0,0.0,1893.95
ORD-1059,2023-09-06,2023-09-12,Same Day,CUST-0079,Customer 30,Home Office,West,California,Los Angeles,Technology,Accessories,Accessories Model 662,50.05,2.0,0.3,100.1
ORD-1060,2023-11-26,2023-11-27,Same Day,CUST-0069,Customer 34,Corporate,East,Washington,Seattle,Furniture,Chairs,Chairs Model 549,399.25,8.0,0.0,3194.0
ORD-1061,2024-10-24,2024-10-27,Same Day,CUST-0008,Customer 132,Consumer,Central,Pennsylvania,Philadelphia,Furniture,Tables,Tables Model 963,318.53,3.0,0.0,955.59
ORD-1062,2024-09-25,2024-09-28,Standard Class,CUST-0005,Customer 92,Corporate,East,Texas,Houston,Technology,Accessories,Accessories Model 633,335.44,2.0,0.0,670.88
ORD-1063,2023-12-12,2023-12-18,Standard Class,CUST-0078,Customer 45,Home Office,East,New York,New York City,Furniture,Tables,Tables Model 893,64.71,9.0,0.3,582.39
ORD-1064,2023-04-17,2023-04-22,Second Class,CUST-0036,Customer 1,Consumer,Central,California,Los Angeles,Furniture,Bookcases,Bookcases Model 352,315.81,8.0,0.0,2526.48
ORD-1065,2024-04-18,2024-04-22,Second Class,CUST-0130,Customer 109,Corporate,West,Ohio,Columbus,Technology,Accessories,Accessories Model 798,188.38,6.0,0.0,1130.28
ORD-1066,2023-12-29,2024-01-02,Second Class,CUST-0038,Customer 115,Home Office,South,Illinois,Chicago,Technology,Accessories,Accessories Model 730,345.15,7.0,0.0,2416.05
ORD-1067,2023-08-19,2023-08-25,Second Class,CUST-0044,Customer 25,Consumer,East,New York,New York City,Furniture,Furnishings,Furnishings Model 311,14.94,9.0,0.0,134.46
ORD-1068,2023-05-26,2023-05-30,Second Class,CUST-0034,Customer 111,Consumer,South,Ohio,Columbus,Furniture,Furnishings,Furnishings Model 694,180.78,9.0,0.0,1627.02
ORD-1069,2023-11-16,2023-11-18,Same Day,CUST-0059,Customer 109,Corporate,East,Texas,Houston,Office Supplies,Binders,Binders Model 476,172.04,4.0,0.1,688.16
ORD-1070,2024-05-17,2024-05-21,First Class,CUST-0062,Customer 94,Home Office,South,Pennsylvania,Philadelphia,Furniture,Chairs,Chairs Model 922,55.38,6.0,0.0,332.28
ORD-1071,2024-07-01,2024-07-07,Same Day,CUST-0075,Customer 4,Home Office,West,New York,New York City,Furniture,Bookcases,Bookcases Model 217,30.56,8.0,0.0,244.48
ORD-1072,2024-03-16,2024-03-18,First Class,CUST-0136,Customer 26,Home Office,East,Ohio,Columbus,Furniture,Tables,Tables Model 399,89.59,3.0,0.0,268.77
ORD-1073,2023-08-13,2023-08-17,Same Day,CUST-0047,Customer 1,Corporate,West,California,Los Angeles,Furniture,Tables,Tables Model 419,484.16,4.0,0.2,1936.64
ORD-1074,2023-09-16,2023-09-17,Second Class,CUST-0010,Customer 5,Home Office,West,Pennsylvania,Philadelphia,Office Supplies,Labels,Labels Model 271,255.52,4.0,0.0,1022.08
ORD-1075,2023-11-15,2023-11-20,Standard Class,CUST-0009,Customer 143,Corporate,Central,California,Los Angeles,Office Supplies,Labels,Labels Model 518,343.86,4.0,0.0,1375.44
ORD-1076,2024-01-11,2024-01-14,Second Class,CUST-0076,Customer 35,Consumer,South,California,Los Angeles,Office Supplies,Binders,Binders Model 419,426.11,2.0,0.0,852.22
ORD-1077,2023-08-17,2023-08-23,Second Class,CUST-0035,Customer 5,Home Office,Central,Washington,Seattle,Office Supplies,Art,Art Model 177,421.71,8.0,0.2,3373.68
ORD-1078,2023-10-23,2023-10-29,First Class,CUST-0125,Customer 97,Home Office,Central,Florida,Miami,Office Supplies,Art,Art Model 242,161.52,9.0,0.1,1453.68
ORD-1079,2024-09-07,2024-09-10,First Class,CUST-0134,Customer 67,Home Office,Central,Ohio,Columbus,Furniture,Chairs,Chairs Model 653,180.9,7.0,0.1,1266.3
ORD-1080,2023-08-19,2023-08-22,Standard Class,CUST-0038,Customer 97,Consumer,East,Washington,Seattle,Technology,Accessories,Accessories Model 510,311.94,4.0,0.0,1247.76
ORD-1081,2024-06-05,2024-06-10,Second Class,CUST-0097,Customer 118,Corporate,East,Texas,Houston,Technology,Phones,Phones Model 258,21.6,6.0,0.1,129.6
ORD-1082,2024-10-09,2024-10-14,First Class,CUST-0068,Customer 76,Consumer,West,Illinois,Chicago,Technology,Copiers,Copiers Model 510,231.22,4.0,0.0,924.88
ORD-1083,2023-10-10,2023-10-15,First Class,CUST-0074,Customer 104,Corporate,West,Washington,Seattle,Technology,Accessories,Accessories Model 811,348.5,4.0,0.1,1394.0
ORD-1084,2023-07-29,2023-07-30,First Class,CUST-0104,Customer 60,Home Office,South,California,Los Angeles,Technology,Accessories,Accessories Model 455,147.53,8.0,0.0,1180.24
ORD-1085,2024-01-13,2024-01-14,First Class,CUST-0029,Customer 40,Consumer,West,Pennsylvania,Philadelphia,Furniture,Furnishings,Furnishings Model 878,16.4,1.0,0.3,16.4
ORD-1086,2024-09-13,2024-09-17,First Class,CUST-0057,Customer 1,Home Office,West,Pennsylvania,Philadelphia,Technology,Phones,Phones Model 666,61.05,5.0,0.1,305.25
ORD-1087,2023-05-17,2023-05-19,Standard Class,CUST-0117,Customer 35,Home Office,South,Washington,Seattle,Technology,Copiers,Copiers Model 636,305.91,9.0,0.0,2753.19
ORD-1088,2024-04-19,2024-04-21,Standard Class,CUST-0128,Customer 108,Home Office,Central,Texas,Houston,Office Supplies,Storage,Storage Model 281,461.87,7.0,0.1,3233.09
ORD-1089,2023-06-26,2023-07-01,First Class,CUST-0114,Customer 49,Home Office,East,Ohio,Columbus,Furniture,Bookcases,Bookcases Model 183,86.93,5.0,0.0,434.65
ORD-1090,2023-03-04,2023-03-09,Standard Class,CUST-0071,Customer 1,Consumer,West,Florida,Miami,Furniture,Chairs,Chairs Model 314,280.87,6.0,0.3,1685.22
ORD-1091,2024-04-21,2024-04-27,Same Day,CUST-0019,Customer 18,Consumer,West,Florida,Miami,Technology,Accessories,Accessories Model 470,400.89,1.0,0.0,400.89
ORD-1092,2023-08-10,2023-08-16,First Class,CUST-0132,Customer 129,Consumer,Central,Texas,Houston,Technology,Machines,Machines Model 970,264.57,1.0,0.1,264.57
ORD-1093,2023-06-11,2023-06-15,First Class,CUST-0055,Customer 32,Corporate,Central,California,Los Angeles,Technology,Copiers,Copiers Model 448,139.79,3.0,0.0,419.37
ORD-1094,2023-11-24,2023-11-30,First Class,CUST-0067,Customer 51,Consumer,South,California,Los Angeles,Furniture,Chairs,Chairs Model 363,114.88,8.0,0.2,919.04
ORD-1095,2024-05-05,2024-05-09,Standard Class,CUST-0142,Customer 55,Corporate,Central,Washington,Seattle,Office Supplies,Storage,Storage Model 429,125.37,8.0,0.0,1002.96
ORD-1096,2024-07-01,2024-07-06,Second Class,CUST-0002,Customer 129,Home Office,East,Washington,Seattle,Technology,Phones,Phones Model 622,107.9,3.0,0.0,323.7
ORD-1097,2024-06-15,2024-06-20,Second Class,CUST-0137,Customer 53,Home Office,South,Illinois,Chicago,Office Supplies,Paper,Paper Model 605,184.71,7.0,0.3,1292.97
ORD-1098,2023-05-08,2023-05-09,First Class,CUST-0014,Customer 9,Corporate,East,New York,New York City,Office Supplies,Art,Art Model 380,74.36,8.0,0.2,594.88
ORD-1099,2024-03-17,2024-03-22,Second Class,CUST-0037,Customer 75,Corporate,West,Illinois,Chicago,Technology,Phones,Phones Model 227,73.98,4.0,0.1,295.92
ORD-1100,2023-01-17,2023-01-22,Second Class,CUST-0122,Customer 76,Home Office,East,California,Los Angeles,Furniture,Tables,Tables Model 973,290.38,6.0,0.1,1742.28
ORD-1101,2023-06-17,2023-06-19,Standard Class,CUST-0053,Customer 138,Consumer,East,Washington,Seattle,Office Supplies,Labels,Labels Model 575,135.52,6.0,0.2,813.12
ORD-1102,2023-12-29,2023-12-30,Standard Class,CUST-0036,Customer 115,Corporate,East,Texas,Houston,Office Supplies,Paper,Paper Model 248,213.91,2.0,0.3,427.82
ORD-1103,2023-07-06,2023-07-09,Second Class,CUST-0055,Customer 111,Corporate,West,Pennsylvania,Philadelphia,Technology,Copiers,Copiers Model 168,221.41,4.0,0.0,885.64
ORD-1104,2023-09-01,2023-09-04,Second Class,CUST-0109,Customer 73,Consumer,South,California,Los Angeles,Furniture,Tables,Tables Model 116,20.44,4.0,0.2,81.76
ORD-1105,2023-01-25,2023-01-28,Second Class,CUST-0108,Customer 102,Corporate,South,Texas,Houston,Furniture,Chairs,Chairs Model 374,353.94,8.0,0.1,2831.52
ORD-1106,2023-01-17,2023-01-19,First Class,CUST-0047,Customer 12,Corporate,South,California,Los Angeles,Furniture,Furnishings,Furnishings Model 315,404.68,1.0,0.0,404.68
ORD-1107,2024-01-09,2024-01-15,Standard Class,CUST-0089,Customer 12,Home Office,Central,Florida,Miami,Technology,Copiers,Copiers Model 588,321.28,5.0,0.0,1606.4
ORD-1108,2023-03-27,2023-03-29,Second Class,CUST-0079,Customer 117,Home Office,East,Ohio,Columbus,Furniture,Tables,Tables Model 982,24.52,7.0,0.0,171.64
ORD-1109,2024-01-07,2024-01-10,First Class,CUST-0103,Customer 17,Corporate,Central,New York,New York City,Office Supplies,Storage,Storage Model 251,472.41,2.0,0.0,944.82
ORD-1110,2023-06-20,2023-06-22,First Class,CUST-0108,Customer 39,Home Office,South,Ohio,Columbus,Technology,Copiers,Copiers Model 596,64.68,5.0,0.2,323.4
ORD-1111,2023-01-16,2023-01-21,Same Day,CUST-0126,Customer 55,Home Office,West,New York,New York City,Furniture,Tables,Tables Model 645,162.78,2.0,0.0,325.56
ORD-1112,2023-02-08,2023-02-14,Standard Class,CUST-0062,Customer 16,Home Office,East,Washington,Seattle,Office Supplies,Storage,Storage Model 365,437.98,2.0,0.2,875.96
ORD-1113,2024-07-30,2024-08-05,First Class,CUST-0142,Customer 120,Corporate,West,California,Los Angeles,Office Supplies,Binders,Binders Model 423,171.5,4.0,0.0,686.0
ORD-1114,2024-08-07,2024-08-08,Same Day,CUST-0140,Customer 37,Consumer,East,California,Los Angeles,Office Supplies,Labels,Labels Model 479,25.84,1.0,0.0,25.84
ORD-1115,2024-07-17,2024-07-21,Same Day,CUST-0148,Customer 93,Home Office,West,Texas,Houston,Office Supplies,Storage,Storage Model 984,452.34,2.0,0.0,904.68
ORD-1116,2023-08-06,2023-08-07,Second Class,CUST-0003,Customer 120,Corporate,East,California,Los Angeles,Technology,Phones,Phones Model 872,64.57,2.0,0.0,129.14
ORD-1117,2024-07-26,2024-07-29,First Class,CUST-0082,Customer 62,Consumer,South,New York,New York City,Office Supplies,Binders,Binders Model 102,261.54,4.0,0.1,1046.16
ORD-1118,2024-08-02,2024-08-08,Second Class,CUST-0011,Customer 105,Home Office,Central,Illinois,Chicago,Technology,Machines,Machines Model 640,313.35,9.0,0.0,2820.15
ORD-1119,2023-09-18,2023-09-21,Second Class,CUST-0124,Customer 38,Home Office,East,Texas,Houston,Furniture,Bookcases,Bookcases Model 275,478.05,9.0,0.0,4302.45
ORD-1120,2024-08-15,2024-08-17,Standard Class,CUST-0062,Customer 93,Home Office,West,Florida,Miami,Office Supplies,Paper,Paper Model 422,45.12,5.0,0.0,225.6
ORD-1121,2023-08-04,2023-08-07,Same Day,CUST-0092,Customer 97,Home Office,Central,Florida,Miami,Office Supplies,Storage,Storage Model 915,432.92,1.0,0.0,432.92
ORD-1122,2023-06-19,2023-06-23,First Class,CUST-0007,Customer 133,Home Office,East,Ohio,Columbus,Furniture,Chairs,Chairs Model 925,419.32,9.0,0.0,3773.88
ORD-1123,2024-07-04,2024-07-06,Second Class,CUST-0077,Customer 12,Home Office,West,Washington,Seattle,Furniture,Bookcases,Bookcases Model 323,440.14,5.0,0.0,2200.7
ORD-1124,2023-12-26,2023-12-28,Same Day,CUST-0088,Customer 109,Home Office,South,Washington,Seattle,Furniture,Tables,Tables Model 425,166.58,9.0,0.0,1499.22
ORD-1125,2024-02-16,2024-02-20,Second Class,CUST-0037,Customer 22,Corporate,South,Ohio,Columbus,Technology,Machines,Machines Model 830,14.12,9.0,0.1,127.08
ORD-1126,2023-01-22,2023-01-24,First Class,CUST-0050,Customer 14,Home Office,East,Florida,Miami,Furniture,Furnishings,Furnishings Model 815,38.34,6.0,0.0,230.04
ORD-1127,2023-02-02,2023-02-08,First Class,CUST-0058,Customer 26,Corporate,West,Ohio,Columbus,Technology,Accessories,Accessories Model 837,299.23,7.0,0.0,2094.61
ORD-1128,2023-06-06,2023-06-09,Same Day,CUST-0130,Customer 84,Corporate,Central,Washington,Seattle,Furniture,Furnishings,Furnishings Model 638,261.05,9.0,0.0,2349.45
ORD-1129,2023-01-21,2023-01-26,Same Day,CUST-0006,Customer 147,Consumer,East,Texas,Houston,Technology,Phones,Phones Model 486,481.8,8.0,0.3,3854.4
ORD-1130,2023-06-12,2023-06-13,Same Day,CUST-0012,Customer 18,Home Office,South,California,Los Angeles,Technology,Phones,Phones Model 307,163.77,6.0,0.1,982.62
ORD-1131,2024-08-27,2024-09-01,First Class,CUST-0027,Customer 50,Home Office,Central,Florida,Miami,Technology,Copiers,Copiers Model 448,83.83,5.0,0.0,419.15
ORD-1132,2024-07-11,2024-07-12,Second Class,CUST-0017,Customer 126,Consumer,West,Pennsylvania,Philadelphia,Furniture,Furnishings,Furnishings Model 930,460.82,3.0,0.3,1382.46
ORD-1133,2023-03-05,2023-03-10,Same Day,CUST-0021,Customer 18,Corporate,South,California,Los Angeles,Office Supplies,Labels,Labels Model 437,138.15,8.0,0.2,1105.2
ORD-1134,2023-04-12,2023-04-13,First Class,CUST-0088,Customer 41,Consumer,South,Florida,Miami,Office Supplies,Storage,Storage Model 988,349.02,1.0,0.3,349.02
ORD-1135,2023-01-02,2023-01-03,Standard Class,CUST-0077,Customer 116,Corporate,West,California,Los Angeles,Office Supplies,Art,Art Model 202,352.72,8.0,0.1,2821.76
ORD-1136,2023-04-16,2023-04-20,Same Day,CUST-0061,Customer 123,Corporate,East,California,Los Angeles,Office Supplies,Paper,Paper Model 873,346.29,2.0,0.1,692.58
ORD-1137,2023-09-21,2023-09-23,Second Class,CUST-0084,Customer 62,Home Office,Central,Washington,Seattle,Furniture,Bookcases,Bookcases Model 482,308.41,9.0,0.1,2775.69
ORD-1138,2023-11-10,2023-11-16,First Class,CUST-0003,Customer 127,Consumer,South,New York,New York City,Technology,Accessories,Accessories Model 973,447.93,4.0,0.0,1791.72
ORD-1139,2024-06-20,2024-06-25,Same Day,CUST-0147,Customer 55,Corporate,South,Texas,Houston,Office Supplies,Storage,Storage Model 784,363.79,7.0,0.3,2546.53
ORD-1140,2024-08-16,2024-08-22,First Class,CUST-0037,Customer 96,Consumer,Central,New York,New York City,Furniture,Bookcases,Bookcases Model 742,219.66,3.0,0.3,658.98
ORD-1141,2023-11-28,2023-11-29,Same Day,CUST-0024,Customer 148,Consumer,South,Pennsylvania,Philadelphia,Office Supplies,Storage,Storage Model 831,341.71,6.0,0.0,2050.26
ORD-1142,2024-08-30,2024-08-31,Second Class,CUST-0117,Customer 98,Corporate,Central,Washington,Seattle,Office Supplies,Art,Art Model 517,254.9,2.0,0.0,509.8
ORD-1143,2023-09-25,2023-09-28,Second Class,CUST-0040,Customer 21,Home Office,East,Illinois,Chicago,Office Supplies,Paper,Paper Model 966,496.11,6.0,0.0,2976.66
ORD-1144,2024-06-09,2024-06-15,First Class,CUST-0037,Customer 69,Corporate,East,New York,New York City,Office Supplies,Art,Art Model 652,454.97,7.0,0.1,3184.79
ORD-1145,2023-03-25,2023-03-27,Same Day,CUST-0145,Customer 123,Consumer,East,Ohio,Columbus,Office Supplies,Art,Art Model 127,205.49,8.0,0.0,1643.92
ORD-1146,2024-11-06,2024-11-11,First Class,CUST-0031,Customer 139,Corporate,Central,Ohio,Columbus,Office Supplies,Storage,Storage Model 729,330.08,1.0,0.3,330.08
ORD-1147,2023-05-13,2023-05-17,First Class,CUST-0001,Customer 57,Corporate,South,Florida,Miami,Office Supplies,Paper,Paper Model 383,227.14,9.0,0.0,2044.26
ORD-1148,2023-06-14,2023-06-15,Same Day,CUST-0044,Customer 56,Home Office,Central,California,Los Angeles,Furniture,Bookcases,Bookcases Model 719,369.52,5.0,0.3,1847.6
ORD-1149,2024-05-25,2024-05-30,Second Class,CUST-0029,Customer 1,Home Office,Central,Washington,Seattle,Technology,Phones,Phones Model 297,21.92,2.0,0.0,43.84
ORD-1150,2024-11-21,2024-11-27,Second Class,CUST-0020,Customer 43,Corporate,West,Washington,Seattle,Furniture,Chairs,Chairs Model 316,48.84,1.0,0.0,48.84
ORD-1151,2023-06-27,2023-07-01,Same Day,CUST-0128,Customer 126,Consumer,South,Pennsylvania,Philadelphia,Office Supplies,Labels,Labels Model 435,434.62,8.0,0.2,3476.96
ORD-1152,2023-12-07,2023-12-08,Same Day,CUST-0096,Customer 102,Consumer,Central,Ohio,Columbus,Office Supplies,Paper,Paper Model 185,367.78,8.0,0.1,2942.24
