product_id,product_name,category,subcategory,cost_price
110,Elite Knife Set,Home,Kitchen,293.87
111,Premium Chair,Home,Furniture,238.75
112,Classic Chair,Home,Furniture,434.41
113,Deluxe Table,Home,Furniture,209.49
114,Compact Chair,Home,Furniture,73.0
115,Pro Table,Home,Furniture,493.66
116,Essential Table,Home,Furniture,75.9
117,Ultra Chair,Home,Furniture,390.58
118,Smart Bookshelf,Home,Furniture,493.39
119,Portable Chair,Home,Furniture,7.33
120,Elite Chair,Home,Furniture,290.26
121,Premium Wall Clock,Home,Decor,69.06
122,Classic Vase,Home,Decor,204.68
123,Deluxe Vase,Home,Decor,7.31
124,Compact Photo Frame,Home,Decor,189.69
125,Pro Vase,Home,Decor,379.64
126,Essential Wall Clock,Home,Decor,339.99
127,Ultra Wall Clock,Home,Decor,117.0
128,Smart Vase,Home,Decor,68.82
129,Portable Photo Frame,Home,Decor,156.53
130,Elite Wall Clock,Home,Decor,152.61
131,Premium Ceiling Light,Home,Lighting,262.54
132,Classic Led Strip,Home,Lighting,444.55
133,Deluxe Led Strip,Home,Lighting,498.09
134,Compact Table Lamp,Home,Lighting,86.62
135,Pro Led Strip,Home,Lighting,14.47
136,Essential Table Lamp,Home,Lighting,109.54
137,Ultra Ceiling Light,Home,Lighting,88.65
138,Smart Ceiling Light,Home,Lighting,397.1
139,Portable Ceiling Light,Home,Lighting,131.62
140,Elite Table Lamp,Home,Lighting,298.99
141,Premium Bedsheet Set,Home,Bedding,328.52
142,Classic Comforter,Home,Bedding,62.32
143,Deluxe Bedsheet Set,Home,Bedding,275.9
144,Compact Bedsheet Set,Home,Bedding,106.72
145,Pro Bedsheet Set,Home,Bedding,154.05
146,Essential Comforter,Home,Bedding,262.55
147,Ultra Comforter,Home,Bedding,72.9
148,Smart Bedsheet Set,Home,Bedding,258.23
149,Portable Pillow,Home,Bedding,61.44
150,Elite Bedsheet Set,Home,Bedding,306.46
