product_id,product_name,category,price,cost
PROD0103,Safe Sports Pro,Sports,11738.74,7930.15
PROD0104,Create Books Lite,Books,1042.65,601.35
PROD0105,Environment Electronics Lite,Electronics,32176.55,19241.03
PROD0106,Financial Sports Max,Sports,3327.3,2052.38
PROD0107,Manage Beauty Plus,Beauty,328.16,218.14
PROD0108,Recent Fashion Lite,Fashion,4953.1,3095.66
PROD0109,Would Grocery Pro,Grocery,854.47,489.93
PROD0110,Bag Beauty Plus,Beauty,1192.79,672.77
PROD0111,Purpose Electronics Pro,Electronics,42616.44,28764.59
PROD0112,Long Beauty Max,Beauty,1969.23,1361.65
PROD0113,Win Grocery,Grocery,974.15,759.63
PROD0114,Factor Fashion,Fashion,1292.66,864.63
PROD0115,Specific Electronics Max,Electronics,55563.32,43052.01
PROD0116,Late Sports Lite,Sports,8033.73,6283.92
PROD0117,Role Home Lite,Home & Kitchen,430.76,300.14
PROD0118,Well Grocery Plus,Grocery,828.66,648.19
PROD0119,Region Home Lite,Home & Kitchen,2603.43,1800.72
PROD0120,Speech Grocery,Grocery,418.7,265.01
PROD0121,Speech Grocery Pro,Grocery,751.76,507.59
PROD0122,Game Home Plus,Home & Kitchen,993.76,604.24
PROD0123,Even Electronics,Electronics,21424.68,16897.96
PROD0124,Color Beauty Max,Beauty,2908.87,1621.42
PROD0125,Statement Home Plus,Home & Kitchen,11796.3,7934.79
PROD0126,Back Home Plus,Home & Kitchen,8384.51,5516.69
PROD0127,Factor Books Plus,Books,919.23,525.27
PROD0128,Standard Sports Lite,Sports,3825.7,2786.17
PROD0129,Assume Electronics Plus,Electronics,17176.36,12503.0
PROD0130,Idea Books Plus,Books,314.99,198.18
PROD0131,Important Electronics Max,Electronics,6853.95,4531.72
PROD0132,Go Grocery Lite,Grocery,305.28,174.57
PROD0133,As Beauty,Beauty,1400.65,949.8
PROD0134,Evening Electronics Max,Electronics,3036.32,2090.67
PROD0135,Tax Sports Max,Sports,7336.91,5619.56
PROD0136,Evidence Electronics Plus,Electronics,18573.07,13833.08
PROD0137,Could Books Lite,Books,1360.59,942.88
PROD0138,Let Fashion Lite,Fashion,3519.99,2058.17
PROD0139,Available Home Lite,Home & Kitchen,4171.69,2360.41
PROD0140,Million Beauty Max,Beauty,899.29,603.48
PROD0141,Without Electronics Lite,Electronics,22625.81,16521.93
PROD0142,Deep Beauty Lite,Beauty,1821.04,1210.02
PROD0143,Poor Fashion Plus,Fashion,1730.89,1095.75
PROD0144,Increase Sports Max,Sports,4806.1,3172.29
PROD0145,Could Beauty,Beauty,2463.88,1438.98
PROD0146,Quite Home Lite,Home & Kitchen,9127.13,6112.92
PROD0147,Million Fashion Max,Fashion,4832.5,3009.98
PROD0148,Boy Books,Books,985.06,734.36
PROD0149,Charge Home Plus,Home & Kitchen,5764.99,3696.82
PROD0150,Now Sports,Sports,2716.88,1616.49
