payment_id,order_id,payment_method,amount,payment_status,payment_date
PAY9BE75150,ORD004127,UPI,3327.3,Failed,2025-04-18
PAY137E51E0,ORD004004,Wallet,2981.28,Success,2025-05-31
PAYBDA46A33,ORD004247,COD,32150.75,Refunded,2026-07-29
PAYB076ED01,ORD003645,Net Banking,79318.96,Success,2025-02-13
PAY0631885F,ORD004755,UPI,3519.99,Success,2025-11-15
PAYAFA19F7E,ORD004081,COD,6853.95,Success,2025-12-13
PAYAF86602F,ORD001901,Wallet,24101.19,Success,2025-06-16
PAY344B6ECB,ORD004085,Wallet,1739.08,Failed,2025-09-06
PAY6BE4DB1D,ORD003891,COD,13732.01,Refunded,2026-07-10
PAYA0A8ED6F,ORD002620,Credit Card,3825.7,Success,2025-04-26
PAYBE4C024C,ORD002999,Debit Card,100130.08,Refunded,2025-05-26
PAY93D48807,ORD001314,Debit Card,32134.92,Refunded,2025-05-17
PAYCD408F59,ORD001225,UPI,4806.1,Success,2026-01-30
PAY34D7A258,ORD004153,Credit Card,5619.15,Refunded,2025-11-30
PAYFDA1DD5F,ORD000982,Credit Card,9466.84,Success,2026-05-14
PAYCFFEE22F,ORD001160,Debit Card,3635.91,Success,2025-04-02
PAYC5C9B93C,ORD003848,Credit Card,3758.8,Success,2026-02-14
PAY44BD5838,ORD003755,UPI,7418.0,Success,2025-03-24
PAYBB4B870A,ORD002730,Credit Card,11022.3,Success,2026-04-14
PAYCE687953,ORD001638,UPI,14079.96,Success,2025-05-18
PAY8EECC174,ORD003506,UPI,390.58,Success,2026-02-03
PAY5290A41F,ORD000712,Credit Card,18191.88,Success,2025-01-22
PAYC848CABE,ORD003598,Debit Card,1541.28,Refunded,2026-07-15
PAY87B03AF8,ORD001939,UPI,1513.2,Success,2026-07-03
PAYE81339DB,ORD002399,UPI,1830.82,Success,2026-02-22
PAY5948BD41,ORD000805,Wallet,4199.28,Refunded,2025-03-28
PAY5DC1D6A2,ORD004586,Wallet,14583.05,Failed,2025-02-05
PAY5DB58607,ORD001095,Debit Card,7639.35,Refunded,2025-02-16
PAYA7900E0F,ORD002345,Net Banking,1678.92,Failed,2026-04-18
PAY723DE38D,ORD004177,COD,291894.9,Refunded,2025-07-22
PAY34CE1F0A,ORD004070,Wallet,14338.6,Success,2026-04-13
PAY0EB04F7F,ORD003306,UPI,85698.72,Success,2025-04-01
PAY7CE831CF,ORD003994,Wallet,9612.2,Refunded,2026-01-03
PAYDFAF8231,ORD002637,COD,629.98,Refunded,2025-07-24
PAY79CB1692,ORD001861,Debit Card,9776.84,Success,2026-05-07
PAYF289EC7A,ORD003514,Net Banking,1312.64,Refunded,2025-05-02
PAY1F065B95,ORD003679,Credit Card,20451.4,Failed,2025-01-10
PAY2C0C787A,ORD003489,COD,3314.64,Success,2025-07-21
PAY6D8C054C,ORD004016,Net Banking,1821.04,Refunded,2026-06-17
PAYBFC78B16,ORD005012,Debit Card,9981.9,Success,2025-12-14
PAYDD0F9A58,ORD003411,COD,3896.6,Success,2026-04-03
PAYE44221A2,ORD003466,COD,4203.28,Success,2025-10-24
PAY2B8AED76,ORD001728,Net Banking,11477.1,Success,2025-02-26
PAYAB715FA9,ORD001715,COD,45635.65,Success,2026-01-19
PAY2D6269FE,ORD005753,UPI,12609.84,Success,2026-07-24
PAY584EE76C,ORD004921,Debit Card,2799.52,Refunded,2025-01-22
PAYFEFD292E,ORD000856,Debit Card,2924.62,Success,2026-05-21
PAYFF00C8AC,ORD003025,Wallet,9402.12,Success,2025-01-25
PAY757314E3,ORD003538,Credit Card,57354.4,Success,2025-01-24
PAY0BC8A5C5,ORD001827,Net Banking,28590.2,Refunded,2025-11-26
PAY179F2F91,ORD001429,Wallet,15302.8,Success,2026-01-17
PAY6F80C9BE,ORD004920,Credit Card,379.38,Refunded,2025-05-14
PAY79719A91,ORD004342,Net Banking,155.58,Success,2025-05-24
PAY279AE9D0,ORD005927,UPI,3466.92,Success,2025-11-30
PAYF1476332,ORD002536,Debit Card,13017.15,Success,2026-07-18
PAY60FDEA96,ORD001505,Wallet,1371.88,Success,2026-05-27
PAYDC492E56,ORD003882,Debit Card,635.82,Success,2025-11-27
PAY3403A83D,ORD000450,Debit Card,81370.58,Success,2026-04-10
PAYBE9E9A45,ORD002312,Debit Card,6447.35,Success,2025-07-12
PAY316230A4,ORD003012,UPI,11022.3,Success,2025-07-22
PAYE4E6FD43,ORD005211,Net Banking,5433.76,Success,2025-02-24
PAY6C5D341C,ORD002132,COD,4334.4,Success,2025-06-02
PAY79FCF4FE,ORD004735,Debit Card,25032.52,Refunded,2026-06-08
PAYF6CBBF05,ORD002948,Wallet,1042.65,Success,2025-01-24
PAY480B37EF,ORD000389,Credit Card,6063.96,Success,2025-09-30
PAY4EEF6057,ORD005939,COD,5817.74,Refunded,2025-11-21
PAY633B5873,ORD002003,Credit Card,7332.63,Success,2025-06-13
PAY0CC32196,ORD005251,UPI,18933.68,Refunded,2026-06-17
PAY1CF24F3B,ORD002297,Credit Card,27415.8,Success,2026-01-27
PAYFC5CE3A6,ORD005169,COD,1836.68,Success,2026-01-22
PAY9F61FCAC,ORD004071,UPI,5907.69,Refunded,2026-07-29
PAYBCE24B82,ORD000641,Debit Card,26286.3,Success,2025-06-21
PAY8BB12442,ORD003135,UPI,3327.3,Refunded,2025-01-13
PAYC3483C22,ORD003979,Net Banking,56173.09,Success,2025-12-06
PAY9DB7F7CD,ORD000564,Credit Card,2916.61,Success,2026-04-13
PAY5218A08B,ORD001805,Net Banking,33510.58,Success,2026-06-28
PAY2E26EB44,ORD002102,COD,2444.21,Refunded,2026-05-17
PAY5D5A1D1A,ORD002214,Credit Card,2093.5,Refunded,2025-03-23
PAY6622A1E7,ORD000112,UPI,1007.94,Failed,2026-07-30
PAY4D2D5B69,ORD000673,COD,131338.72,Refunded,2026-05-18
PAYC1185BCE,ORD001432,Wallet,41922.55,Success,2025-09-13
PAY56E93E15,ORD004512,Net Banking,11529.98,Success,2026-03-02
PAYA8BBC2D5,ORD002136,Net Banking,1751.39,Success,2026-06-23
PAY99579703,ORD005950,Debit Card,3635.91,Success,2026-07-26
PAY0AD250FC,ORD003666,Debit Card,429.82,Success,2026-05-29
PAY758EDC3C,ORD003767,UPI,35231.22,Success,2026-05-30
PAY41A41805,ORD000786,Wallet,5817.74,Success,2025-06-27
PAY74502B34,ORD002146,Debit Card,224692.36,Refunded,2025-08-23
PAYE39ABD8B,ORD000694,COD,8210.6,Refunded,2026-07-07
PAY09356DDE,ORD002772,Net Banking,4347.7,Success,2025-08-29
PAY579CC2D3,ORD001785,Credit Card,19491.95,Failed,2025-10-14
PAY217BCD25,ORD003105,Debit Card,503.97,Refunded,2025-10-05
PAY6C3A3EBE,ORD001583,Net Banking,160882.75,Success,2025-10-05
PAY44B0BA51,ORD004862,Debit Card,1681.95,Success,2025-04-02
PAYBC32B3F6,ORD001220,Debit Card,20561.85,Success,2026-02-24
PAY989DEB94,ORD002320,Debit Card,13707.9,Success,2025-02-28
PAY01ABC32F,ORD004610,Debit Card,41196.03,Success,2025-12-31
PAYE7495A08,ORD002691,Net Banking,1910.12,Refunded,2025-10-21
PAYF645CA0F,ORD001317,Net Banking,7416.87,Refunded,2026-02-22
PAYAD66E486,ORD000256,UPI,3910.0,Success,2025-10-30
PAY634132FD,ORD005652,COD,5442.36,Success,2025-09-04
PAYFD135A5B,ORD001173,COD,1987.52,Success,2025-02-25
PAY6CD2CDD9,ORD004086,Credit Card,4203.28,Failed,2025-07-09
PAYD76997B3,ORD001507,Wallet,2908.87,Failed,2025-09-25
PAY2184E3A5,ORD000623,Net Banking,812.36,Success,2026-07-06
PAYA4D3A5E8,ORD002100,Net Banking,16067.46,Failed,2025-04-06
PAYBE3F3A8A,ORD000801,Wallet,23487.48,Refunded,2025-03-01
PAY386D4743,ORD005348,UPI,52572.6,Refunded,2025-02-06
PAYCAD6C2BB,ORD005060,Wallet,67877.43,Failed,2025-08-10
PAY78AFA475,ORD001406,COD,37146.14,Success,2025-11-04
PAYE3AFB43B,ORD002417,UPI,953.73,Success,2025-02-27
PAY6626FCB3,ORD001978,COD,5206.86,Failed,2026-03-02
PAY9819A629,ORD003866,Credit Card,13707.9,Success,2026-01-30
PAYA7898FCA,ORD005277,Net Banking,5463.12,Success,2025-11-28
PAY0ACA8411,ORD004583,UPI,3597.16,Success,2025-03-31
PAY706FF856,ORD003107,Net Banking,5206.86,Refunded,2025-09-25
PAY73D5F310,ORD000834,Wallet,23806.3,Success,2025-11-11
PAY58BB5D62,ORD005192,Net Banking,23432.45,Success,2026-03-14
PAY12A43620,ORD001122,UPI,459.17,Refunded,2025-06-04
PAY309BC5BF,ORD002871,COD,24564.6,Refunded,2025-05-06
PAY33692DE9,ORD003906,Wallet,29347.64,Success,2026-05-02
PAY6D40368D,ORD000512,Debit Card,2592.68,Success,2026-01-26
PAYCAF0EB98,ORD000892,Wallet,18191.88,Refunded,2025-06-25
PAY319050A9,ORD001089,Net Banking,2204.46,Success,2025-07-15
PAYE08B36C4,ORD005780,COD,1517.52,Refunded,2026-07-09
PAY4EB9C98A,ORD005135,Debit Card,1083.6,Success,2025-03-24
PAY6A7C04EE,ORD005239,Debit Card,984.48,Success,2025-12-11
PAYFBBCC8C4,ORD003738,Net Banking,751.76,Success,2026-06-05
PAYEE1F49F5,ORD004588,Wallet,1086.64,Success,2025-04-30
PAY6B795E9D,ORD001662,Debit Card,7796.78,Refunded,2025-12-25
PAY0CF4367D,ORD000466,Net Banking,8498.28,Success,2025-11-21
PAY7DBFDFF1,ORD002074,COD,4005.72,Refunded,2025-04-24
PAY1E8F9365,ORD002736,UPI,915.41,Success,2026-01-05
PAY93E27D76,ORD004454,UPI,2716.6,Success,2025-01-27
PAYD0744001,ORD000482,Debit Card,34352.72,Success,2025-07-14
PAY7C7D86B2,ORD004430,Wallet,8821.6,Failed,2026-03-05
PAYC0DC8EEE,ORD005601,Debit Card,3868.41,Failed,2025-07-29
PAY72785B1B,ORD004573,Debit Card,1448.8,Success,2026-06-10
PAY6681647F,ORD002477,Wallet,19810.4,Refunded,2026-03-20
PAY4880379A,ORD000501,Wallet,8163.2,Success,2026-03-18
PAYC1206F3A,ORD002578,Credit Card,3898.39,Refunded,2025-05-14
PAY8D6877E9,ORD004370,Credit Card,305.28,Failed,2025-11-07
PAYC79811EA,ORD005018,Net Banking,4495.32,Success,2026-04-10
PAY554DBCF1,ORD000526,UPI,7118.6,Success,2025-02-22
PAY8518FFE5,ORD001121,Credit Card,4704.83,Failed,2025-10-16
PAYDBDFA5B9,ORD004092,Debit Card,4450.8,Refunded,2026-07-13
PAYF1C0E1D5,ORD004742,Debit Card,2922.45,Success,2026-04-16
PAY1831E393,ORD002712,Credit Card,4733.42,Refunded,2025-05-18
PAYECA16DAB,ORD000704,COD,24103.8,Refunded,2025-11-02
PAY63D0B8E1,ORD003164,COD,11022.3,Success,2025-05-19
PAY91461904,ORD000280,Wallet,47185.2,Failed,2025-01-07
PAYCC0FB5AA,ORD000837,COD,2204.46,Refunded,2025-07-27
PAYAE1A5E04,ORD005660,UPI,11477.1,Refunded,2025-09-07
PAY0F1D38B6,ORD003048,Credit Card,46954.96,Success,2026-03-04
PAYCD6BB21E,ORD001053,UPI,12221.05,Success,2025-02-28
PAYFB9E451E,ORD001455,Wallet,3417.88,Success,2025-12-01
PAY976964B2,ORD005835,COD,40685.29,Success,2026-01-28
PAYF77AD773,ORD000782,COD,67021.16,Success,2026-03-23
PAYB21FE619,ORD004037,UPI,213082.2,Success,2026-04-28
PAY7FE044BC,ORD001298,Debit Card,4870.75,Success,2025-05-07
PAY5EDBE358,ORD005841,Credit Card,47612.6,Success,2025-10-11
PAYD7E60496,ORD004936,COD,993.3,Success,2025-01-16
PAYF330AC96,ORD000494,Credit Card,418.7,Success,2026-04-12
PAYB7301764,ORD005783,Net Banking,1259.96,Refunded,2026-04-10
PAY40DCD2B1,ORD005435,Credit Card,32150.75,Success,2025-11-17
PAY5AE3282E,ORD002670,Net Banking,24765.5,Failed,2026-04-21
PAYD83F66C3,ORD005462,Debit Card,4450.8,Success,2025-01-31
PAY5E000543,ORD000954,Net Banking,0.0,Refunded,2025-08-31
PAYFF71AC2B,ORD005718,Credit Card,837.4,Success,2026-02-07
PAY077D527B,ORD001894,Net Banking,3820.24,Success,2025-01-28
PAY5EC6627E,ORD000135,Debit Card,4968.8,Success,2025-08-30
PAY9C0352D0,ORD004450,Wallet,4914.72,Success,2025-02-13
PAYA3707125,ORD001860,Debit Card,15302.8,Refunded,2025-12-02
PAYB7715B4F,ORD005173,Net Banking,861.52,Success,2025-02-12
PAY91E8DD36,ORD005733,Wallet,41922.55,Failed,2026-07-12
PAY770EE19A,ORD002185,Debit Card,71475.5,Failed,2025-09-12
